trip_id,arrival_time,departure_time,stop_id,stop_sequence
CMRL_2_weekday_d0_22,22:00:00,22:00:00,CMRL_G01,1
CMRL_2_weekday_d0_22,23:00:00,23:00:00,CMRL_G18,18
CMRL_2_weekday_d1_05,05:00:00,05:00:00,CMRL_G18,1
CMRL_2_weekday_d1_05,08:00:00,08:00:00,CMRL_G01,18
CMRL_2_weekday_d1_08,08:00:00,08:00:00,CMRL_G18,1
CMRL_2_weekday_d1_08,11:00:00,11:00:00,CMRL_G01,18
CMRL_2_weekday_d1_11,11:00:00,11:00:00,CMRL_G18,1
CMRL_2_weekday_d1_11,17:00:00,17:00:00,CMRL_G01,18
CMRL_2_weekday_d1_17,17:00:00,17:00:00,CMRL_G18,1
CMRL_2_weekday_d1_17,20:00:00,20:00:00,CMRL_G01,18
CMRL_2_weekday_d1_20,20:00:00,20:00:00,CMRL_G18,1
CMRL_2_weekday_d1_20,22:00:00,22:00:00,CMRL_G01,18
CMRL_2_weekday_d1_22,22:00:00,22:00:00,CMRL_G18,1
CMRL_2_weekday_d1_22,23:00:00,23:00:00,CMRL_G01,18
CMRL_2_saturday_d0_05,05:00:00,05:00:00,CMRL_G01,1
CMRL_2_saturday_d0_05,08:00:00,08:00:00,CMRL_G18,18
CMRL_2_saturday_d0_08,08:00:00,08:00:00,CMRL_G01,1
CMRL_2_saturday_d0_08,11:00:00,11:00:00,CMRL_G18,18
CMRL_2_saturday_d0_11,11:00:00,11:00:00,CMRL_G01,1
CMRL_2_saturday_d0_11,17:00:00,17:00:00,CMRL_G18,18
CMRL_2_saturday_d0_17,17:00:00,17:00:00,CMRL_G01,1
CMRL_2_saturday_d0_17,20:00:00,20:00:00,CMRL_G18,18
CMRL_2_saturday_d0_20,20:00:00,20:00:00,CMRL_G01,1
CMRL_2_saturday_d0_20,22:00:00,22:00:00,CMRL_G18,18
CMRL_2_saturday_d0_22,22:00:00,22:00:00,CMRL_G01,1
CMRL_2_saturday_d0_22,23:00:00,23:00:00,CMRL_G18,18
CMRL_2_saturday_d1_05,05:00:00,05:00:00,CMRL_G18,1
CMRL_2_saturday_d1_05,08:00:00,08:00:00,CMRL_G01,18
CMRL_2_saturday_d1_08,08:00:00,08:00:00,CMRL_G18,1
CMRL_2_saturday_d1_08,11:00:00,11:00:00,CMRL_G01,18
CMRL_2_saturday_d1_11,11:00:00,11:00:00,CMRL_G18,1
CMRL_2_saturday_d1_11,17:00:00,17:00:00,CMRL_G01,18
CMRL_2_saturday_d1_17,17:00:00,17:00:00,CMRL_G18,1
CMRL_2_saturday_d1_17,20:00:00,20:00:00,CMRL_G01,18
CMRL_2_saturday_d1_20,20:00:00,20:00:00,CMRL_G18,1
CMRL_2_saturday_d1_20,22:00:00,22:00:00,CMRL_G01,18
CMRL_2_saturday_d1_22,22:00:00,22:00:00,CMRL_G18,1
CMRL_2_saturday_d1_22,23:00:00,23:00:00,CMRL_G01,18
CMRL_2_sunday_d0_05,05:00:00,05:00:00,CMRL_G01,1
CMRL_2_sunday_d0_05,12:00:00,12:00:00,CMRL_G18,18
CMRL_2_sunday_d0_12,12:00:00,12:00:00,CMRL_G01,1
CMRL_2_sunday_d0_12,20:00:00,20:00:00,CMRL_G18,18
CMRL_2_sunday_d0_20,20:00:00,20:00:00,CMRL_G01,1
CMRL_2_sunday_d0_20,22:00:00,22:00:00,CMRL_G18,18
CMRL_2_sunday_d0_22,22:00:00,22:00:00,CMRL_G01,1
CMRL_2_sunday_d0_22,23:00:00,23:00:00,CMRL_G18,18
CMRL_2_sunday_d1_05,05:00:00,05:00:00,CMRL_G18,1
CMRL_2_sunday_d1_05,12:00:00,12:00:00,CMRL_G01,18
CMRL_2_sunday_d1_12,12:00:00,12:00:00,CMRL_G18,1
CMRL_2_sunday_d1_12,20:00:00,20:00:00,CMRL_G01,18
CMRL_2_sunday_d1_20,20:00:00,20:00:00,CMRL_G18,1
CMRL_2_sunday_d1_20,22:00:00,22:00:00,CMRL_G01,18
CMRL_2_sunday_d1_22,22:00:00,22:00:00,CMRL_G18,1
CMRL_2_sunday_d1_22,23:00:00,23:00:00,CMRL_G01,18
CMRL_3_weekday_d0_05,05:00:00,05:00:00,CMRL_G01,1
CMRL_3_weekday_d0_05,08:00:00,08:00:00,CMRL_26,5
CMRL_3_weekday_d0_08,08:00:00,08:00:00,CMRL_G01,1
CMRL_3_weekday_d0_08,11:00:00,11:00:00,CMRL_26,5
CMRL_3_weekday_d0_11,11:00:00,11:00:00,CMRL_G01,1
CMRL_3_weekday_d0_11,17:00:00,17:00:00,CMRL_26,5
CMRL_3_weekday_d0_17,17:00:00,17:00:00,CMRL_G01,1
CMRL_3_weekday_d0_17,20:00:00,20:00:00,CMRL_26,5
CMRL_3_weekday_d0_20,20:00:00,20:00:00,CMRL_G01,1
CMRL_3_weekday_d0_20,22:00:00,22:00:00,CMRL_26,5
CMRL_3_weekday_d0_22,22:00:00,22:00:00,CMRL_G01,1
CMRL_3_weekday_d0_22,23:00:00,23:00:00,CMRL_26,5
CMRL_3_weekday_d1_05,05:00:00,05:00:00,CMRL_26,1
CMRL_3_weekday_d1_05,08:00:00,08:00:00,CMRL_G01,5
CMRL_3_weekday_d1_08,08:00:00,08:00:00,CMRL_26,1
CMRL_3_weekday_d1_08,11:00:00,11:00:00,CMRL_G01,5
CMRL_3_weekday_d1_11,11:00:00,11:00:00,CMRL_26,1
CMRL_3_weekday_d1_11,17:00:00,17:00:00,CMRL_G01,5
CMRL_3_weekday_d1_17,17:00:00,17:00:00,CMRL_26,1
CMRL_3_weekday_d1_17,20:00:00,20:00:00,CMRL_G01,5
CMRL_3_weekday_d1_20,20:00:00,20:00:00,CMRL_26,1
CMRL_3_weekday_d1_20,22:00:00,22:00:00,CMRL_G01,5
CMRL_3_weekday_d1_22,22:00:00,22:00:00,CMRL_26,1
CMRL_3_weekday_d1_22,23:00:00,23:00:00,CMRL_G01,5
CMRL_3_saturday_d0_05,05:00:00,05:00:00,CMRL_G01,1
CMRL_3_saturday_d0_05,08:00:00,08:00:00,CMRL_26,5
CMRL_3_saturday_d0_08,08:00:00,08:00:00,CMRL_G01,1
CMRL_3_saturday_d0_08,11:00:00,11:00:00,CMRL_26,5
CMRL_3_saturday_d0_11,11:00:00,11:00:00,CMRL_G01,1
CMRL_3_saturday_d0_11,17:00:00,17:00:00,CMRL_26,5
CMRL_3_saturday_d0_17,17:00:00,17:00:00,CMRL_G01,1
CMRL_3_saturday_d0_17,20:00:00,20:00:00,CMRL_26,5
CMRL_3_saturday_d0_20,20:00:00,20:00:00,CMRL_G01,1
CMRL_3_saturday_d0_20,22:00:00,22:00:00,CMRL_26,5
CMRL_3_saturday_d0_22,22:00:00,22:00:00,CMRL_G01,1
CMRL_3_saturday_d0_22,23:00:00,23:00:00,CMRL_26,5
CMRL_3_saturday_d1_05,05:00:00,05:00:00,CMRL_26,1
CMRL_3_saturday_d1_05,08:00:00,08:00:00,CMRL_G01,5
CMRL_3_saturday_d1_08,08:00:00,08:00:00,CMRL_26,1
CMRL_3_saturday_d1_08,11:00:00,11:00:00,CMRL_G01,5
CMRL_3_saturday_d1_11,11:00:00,11:00:00,CMRL_26,1
CMRL_3_saturday_d1_11,17:00:00,17:00:00,CMRL_G01,5
CMRL_3_saturday_d1_17,17:00:00,17:00:00,CMRL_26,1
CMRL_3_saturday_d1_17,20:00:00,20:00:00,CMRL_G01,5
CMRL_3_saturday_d1_20,20:00:00,20:00:00,CMRL_26,1
CMRL_3_saturday_d1_20,22:00:00,22:00:00,CMRL_G01,5
CMRL_3_saturday_d1_22,22:00:00,22:00:00,CMRL_26,1
CMRL_3_saturday_d1_22,23:00:00,23:00:00,CMRL_G01,5
CMRL_3_sunday_d0_05,05:00:00,05:00:00,CMRL_G01,1
CMRL_3_sunday_d0_05,12:00:00,12:00:00,CMRL_26,5
CMRL_3_sunday_d0_12,12:00:00,12:00:00,CMRL_G01,1
CMRL_3_sunday_d0_12,20:00:00,20:00:00,CMRL_26,5
CMRL_3_sunday_d0_20,20:00:00,20:00:00,CMRL_G01,1
CMRL_3_sunday_d0_20,22:00:00,22:00:00,CMRL_26,5
CMRL_3_sunday_d0_22,22:00:00,22:00:00,CMRL_G01,1
CMRL_3_sunday_d0_22,23:00:00,23:00:00,CMRL_26,5
CMRL_3_sunday_d1_05,05:00:00,05:00:00,CMRL_26,1
CMRL_3_sunday_d1_05,12:00:00,12:00:00,CMRL_G01,5
CMRL_3_sunday_d1_12,12:00:00,12:00:00,CMRL_26,1
CMRL_3_sunday_d1_12,20:00:00,20:00:00,CMRL_G01,5
CMRL_3_sunday_d1_20,20:00:00,20:00:00,CMRL_26,1
CMRL_3_sunday_d1_20,22:00:00,22:00:00,CMRL_G01,5
CMRL_3_sunday_d1_22,22:00:00,22:00:00,CMRL_26,1
CMRL_3_sunday_d1_22,23:00:00,23:00:00,CMRL_G01,5
